id,title,genres
11324,Shutter Island,Drama;Thriller;Mystery
1307078,My Oxford Year,Romance;Comedy;Drama
10585,Child's Play,Horror
62177,Brave,Animation;Adventure;Comedy;Family;Action;Fantasy
38055,Megamind,Animation;Action;Comedy;Family;Science Fiction
38365,Grown Ups,Comedy
545611,Everything Everywhere All at Once,Action;Adventure;Science Fiction
1246369,Samurai Fury,Action;Drama
68718,Django Unchained,Drama;Western
1339658,"Oh, Hi!",Romance;Comedy
745,The Sixth Sense,Mystery;Thriller;Drama
863,Toy Story 2,Animation;Comedy;Family
668489,Havoc,Action;Crime;Thriller
438695,Sing 2,Family;Comedy;Music;Animation
670,Oldboy,Drama;Thriller;Mystery;Action
522938,Rambo: Last Blood,Action;Thriller;Drama
16871,Drag Me to Hell,Horror;Thriller
578,Jaws,Horror;Thriller;Adventure
613504,After We Collided,Romance;Drama
377,A Nightmare on Elm Street,Horror
1322752,COLORFUL STAGE! The Movie: A Miku Who Can't Sing,Animation;Music;Drama;Science Fiction
605722,Long Distance,Science Fiction;Comedy;Action
49013,Cars 2,Animation;Family;Adventure;Comedy
493922,Hereditary,Horror;Mystery;Thriller
348893,Boyka: Undisputed IV,Action;Drama;Thriller
390635,Fate/stay night: Heaven's Feel III. Spring Song,Animation;Romance;Fantasy;Action;Drama
568124,Encanto,Animation;Comedy;Family;Fantasy
429617,Spider-Man: Far From Home,Action;Adventure;Science Fiction
801335,Girl in the Basement,Thriller;Crime;TV Movie
11544,Lilo & Stitch,Animation;Family;Comedy
1267116,Bad Man,Action;Comedy;Crime
1126166,Flight Risk,Action;Thriller
646385,Scream,Horror;Mystery
1244492,Look Back,Animation;Drama
629542,The Bad Guys,Family;Comedy;Crime;Adventure;Animation;Action
846422,The Old Guard 2,Action;Fantasy
564,The Mummy,Adventure;Action;Fantasy
748783,The Garfield Movie,Family;Comedy;Adventure;Animation
9552,The Exorcist,Horror
13186,Wrong Turn 2: Dead End,Horror;Thriller
940551,Migration,Family;Comedy;Adventure;Animation
3036,Mary Shelley's Frankenstein,Drama;Horror;Science Fiction;Romance
101,Léon: The Professional,Crime;Drama;Action
1484453,Snoopy Presents: A Summer Musical,Animation;Family;Music;Comedy
420634,Terrifier,Horror;Thriller
9532,Final Destination,Horror
1239193,Deep Cover,Action;Comedy;Crime
718930,Bullet Train,Action;Comedy;Thriller
1091,The Thing,Horror;Mystery;Science Fiction
205596,The Imitation Game,History;Drama;Thriller;War
1249289,Alarum,Action;Crime;Thriller
99984,Rosie Dixon - Night Nurse,Comedy
10674,Mulan,Animation;Family;Adventure
1471345,Homo Argentum,Comedy
1398911,East of Wall,Drama;Western
679,Aliens,Action;Thriller;Science Fiction
10193,Toy Story 3,Animation;Family;Comedy
128,Princess Mononoke,Adventure;Fantasy;Animation
760104,X,Horror;Thriller
760104,X,Horror;Thriller
324552,John Wick: Chapter 2,Action;Thriller;Crime
581528,"The Gangster, the Cop, the Devil",Crime;Action;Thriller
109418,Grown Ups 2,Comedy
508442,Soul,Animation;Family;Comedy;Fantasy;Drama
49051,The Hobbit: An Unexpected Journey,Adventure;Fantasy;Action
50014,The Help,Drama
914215,Humane,Horror;Science Fiction;Thriller
76341,Mad Max: Fury Road,Action;Adventure;Science Fiction
536554,M3GAN,Science Fiction;Horror
550988,Free Guy,Comedy;Adventure;Science Fiction
20352,Despicable Me,Family;Comedy;Animation;Science Fiction
82507,Sinister,Horror;Thriller;Mystery
70981,Prometheus,Science Fiction;Adventure;Mystery
45933,The Nurse on a Military Tour,Comedy
260514,Cars 3,Animation;Adventure;Comedy;Family
242582,Nightcrawler,Crime;Drama;Thriller
337404,Cruella,Comedy;Crime;Adventure
519465,Queen of Hearts,Drama
1097549,Babygirl,Drama;Romance
1337562,Splitsville,Comedy
419430,Get Out,Mystery;Thriller;Horror
1035048,Elevation,Action;Science Fiction;Thriller
549509,The Brutalist,Drama;History
4011,Beetlejuice,Fantasy;Comedy
8681,Taken,Action;Thriller
1139566,Through My Window 3: Looking at You,Romance;Drama;Comedy
1140535,Presence,Horror;Thriller;Drama
283995,Guardians of the Galaxy Vol. 2,Science Fiction;Adventure;Action
842924,The Life of Chuck,Fantasy;Drama
1265063,After the Hunt,Drama;Thriller
1290182,You Are the Apple of My Eye,Romance;Drama;Comedy
1076897,Kaamelott: The Second Chapter (Part I),Adventure;Fantasy;Comedy;History
360920,The Grinch,Family;Comedy;Animation
118,Charlie and the Chocolate Factory,Adventure;Comedy;Family;Fantasy
424139,Halloween,Horror;Thriller
8839,Casper,Fantasy;Comedy;Family
974397,My Freaky Family,Animation;Family;Fantasy
660033,How I Became a Gangster,Crime;Action
79871,Crazy Love,Comedy;Romance;Drama
11932,Bride of Chucky,Horror;Comedy
166428,How to Train Your Dragon: The Hidden World,Animation;Family;Adventure
11036,The Notebook,Romance;Drama
868759,Ghosted,Action;Comedy;Romance
772,Home Alone 2: Lost in New York,Comedy;Family;Adventure
176,Saw,Horror;Mystery;Crime
299054,Expend4bles,Action;Adventure;Thriller
77,Memento,Mystery;Thriller
639988,No Other Choice,Crime;Thriller;Comedy
4951,10 Things I Hate About You,Comedy;Romance;Drama
10195,Thor,Adventure;Fantasy;Action
1072890,The Traveller,Action;Fantasy
1302318,A Woman with No Filter,Comedy
760329,The Smashing Machine,History;Drama
